affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
16,1,old-first,tracked,meshes_cameras,old,57645.7,56821.5,66132.4,127888.8,35527366.1,0,0,0,0,0
16,1,old-first,tracked,meshes_cameras,new,57025.4,56849.6,64980.1,126430.3,35913826.8,0,0,0,0,0
16,1,old-first,tracked,tmesh_layers,old,69953.5,68026.2,71959.4,155358.8,29276584.3,0,0,0,0,0
16,1,old-first,tracked,tmesh_layers,new,68334.8,67855.5,69407.4,151723.3,29970103.5,0,0,0,0,0
16,1,old-first,tracked,tmesh_16layers,old,68794.5,67999.6,73712.5,152713.7,29769808.2,0,0,0,0,0
16,1,old-first,tracked,tmesh_16layers,new,68414.1,66858.6,80379.7,152119.5,29935366.0,0,0,0,0,0
16,1,old-first,tracked,tmesh_depth,old,70165.2,69046.5,72970.3,155670.9,29188244.3,0,0,0,0,0
16,1,old-first,tracked,tmesh_depth,new,68445.7,67366.8,80478.9,151620.5,29921527.7,0,0,0,0,0
16,1,old-first,tracked,tmesh_cameras,old,74560.2,73223.0,78083.6,164818.8,27467753.6,0,0,0,0,0
16,1,old-first,tracked,tmesh_cameras,new,79715.6,75330.9,88696.5,175389.0,25691324.6,0,0,0,0,0
16,1,old-first,tracked,mixed,old,46009.0,44557.8,52944.9,102630.0,44513045.2,0,0,0,0,0
16,1,old-first,tracked,mixed,new,44429.7,43949.6,46008.6,99094.0,46095305.1,0,0,0,0,0
16,2,new-first,untracked,sprites_layers,new,3616.4,3426.2,4406.6,9724.1,566308057.9,0,0,0,0,0
16,2,new-first,untracked,sprites_layers,old,5396.1,5009.0,5809.0,13357.8,379533806.3,0,0,0,0,0
16,2,new-first,untracked,sprites_16layers,new,3537.9,3364.1,4409.8,9337.3,578876007.5,0,0,0,0,0
16,2,new-first,untracked,sprites_16layers,old,3988.3,3797.3,4384.4,10364.5,513504407.4,0,0,0,0,0
16,2,new-first,untracked,sprites_same_z,new,3616.8,3514.1,4228.9,9716.3,566246894.9,0,0,0,0,0
16,2,new-first,untracked,sprites_same_z,old,3960.5,3634.0,4168.0,10274.5,517100305.8,0,0,0,0,0
16,2,new-first,untracked,sprites_textures,new,12500.8,12176.6,13229.3,29238.1,163829760.6,0,0,0,0,0
16,2,new-first,untracked,sprites_textures,old,12890.2,12553.1,13382.4,30288.5,158879966.1,0,0,0,0,0
16,2,new-first,untracked,sprites_fragmented,new,13224.6,13053.9,13691.8,30797.7,154862797.2,0,0,0,0,0
